Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
0,66,0,0,1,1,5,0,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143
1,45,1,3,2,2,3,0,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474
1,51,1,2,6,1,1,0,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556
1,50,0,1,0,2,1,3,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2
1,49,1,3,3,1,2,0,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0
1,38,0,4,2,2,5,0,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917
1,49,1,4,5,2,3,0,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333
1,56,1,2,1,1,2,0,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588
1,59,1,1,1,1,1,0,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7
1,46,1,3,3,1,3,0,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8
1,52,1,1,0,2,3,0,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6
1,52,0,3,6,1,4,0,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143
0,54,0,1,2,1,4,0,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9
1,66,0,0,3,1,4,0,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923
1,49,1,2,6,1,0,0,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25
0,56,1,2,2,1,0,0,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364
1,49,0,4,2,3,4,0,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6
1,49,0,3,2,2,4,0,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6
1,56,1,2,5,1,1,0,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417
1,44,0,5,2,1,5,0,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083
1,42,1,2,3,2,2,0,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25
1,55,1,3,6,1,3,0,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833
0,48,1,2,2,1,2,3,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5
1,39,1,1,3,0,2,0,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154
1,44,1,4,4,2,0,0,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733
1,53,1,2,3,2,0,0,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917
1,51,1,4,5,2,3,3,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6
1,57,1,2,0,1,2,0,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667
1,44,0,2,5,2,4,0,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556
1,49,1,2,2,1,2,0,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4
1,50,1,2,1,1,3,0,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0
1,51,1,4,2,2,0,0,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05
1,55,0,2,2,1,4,0,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286
1,54,1,1,2,3,2,0,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4
1,42,1,5,5,1,3,0,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522
1,44,1,1,0,2,2,0,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182
1,53,1,2,2,2,3,0,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435
1,44,0,4,2,2,4,0,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875
1,37,0,3,5,2,4,0,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966
1,49,1,3,2,0,2,0,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353
1,47,1,2,2,1,3,0,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4
1,47,1,3,2,1,2,0,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412
1,44,1,1,6,3,0,0,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526
0,55,0,4,6,1,1,0,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714
1,59,0,1,2,1,5,0,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818
1,53,1,1,2,0,3,0,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0
1,52,1,2,2,1,2,0,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667
1,53,1,2,3,2,0,0,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722
1,43,0,3,5,2,4,0,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6
1,44,1,3,3,2,2,0,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8
1,57,1,2,6,1,0,0,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636
1,51,0,2,3,2,4,0,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333
1,49,1,4,3,2,3,0,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182
1,45,1,1,2,2,1,0,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619
1,53,1,0,2,2,3,0,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933
1,45,0,3,6,1,5,0,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222
1,64,1,1,2,1,4,0,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882
1,45,1,3,2,1,1,0,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304
1,53,1,3,1,1,1,0,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68
1,56,1,3,0,1,0,0,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727
0,47,1,2,6,1,3,0,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385
1,49,0,3,0,2,5,0,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0
1,41,0,3,6,1,5,3,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733
1,53,1,3,2,1,0,0,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5
1,44,0,2,2,2,4,0,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5
1,44,1,3,3,3,2,0,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789
1,43,0,4,4,1,4,0,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542
1,53,1,2,4,2,0,0,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1
1,44,1,1,5,1,2,0,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667
1,62,0,1,6,1,4,0,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095
1,54,1,4,6,0,0,0,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824
1,57,1,4,2,1,2,0,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391
1,42,1,3,6,1,2,0,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625
1,42,1,4,3,0,2,0,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346
1,54,0,0,5,1,4,0,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0
1,48,1,3,2,2,3,0,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056
1,49,1,1,2,2,3,0,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571
1,52,1,3,3,3,3,0,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118
1,50,1,3,3,2,3,0,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786
1,49,1,1,1,1,2,0,36,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0
1,53,0,2,3,1,4,0,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0
1,50,1,2,2,2,0,0,36,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625
1,55,0,1,1,1,4,0,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611
1,53,1,1,3,1,3,0,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533
1,47,0,3,3,2,1,0,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382
1,55,1,2,0,2,0,3,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355
1,47,1,3,2,2,2,0,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846
1,58,1,4,2,2,0,0,52,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364
0,53,1,2,2,1,3,0,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353
1,52,1,2,3,2,1,0,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417
1,50,0,1,5,3,4,3,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765
1,42,0,1,2,1,4,0,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778
1,43,1,4,6,1,1,0,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2
1,57,1,4,2,1,3,0,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545
1,52,1,1,2,1,3,0,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7
1,47,1,2,1,2,4,0,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0
1,44,0,3,2,2,1,0,38,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929
1,53,1,2,3,0,2,0,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733
1,45,1,4,0,0,2,0,40,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.211
1,63,0,1,0,1,5,0,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231
1,39,0,2,4,2,4,0,27,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727
0,48,0,5,3,1,4,0,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8
1,51,1,1,6,2,0,0,42,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636
1,54,1,4,2,1,3,0,34,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5
1,59,0,1,2,2,4,0,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667
0,59,1,1,0,2,2,0,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0
0,48,0,4,5,1,4,0,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455
1,41,0,2,2,2,4,0,32,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875
1,55,1,2,2,1,0,0,50,3,2,0,10916.0,1536,9380.0,1.317,1592,34,1.0
1,47,0,4,2,1,5,0,36,4,1,3,5349.0,1228,4121.0,0.728,1343,30,1.308
1,41,1,2,3,1,3,0,24,4,1,3,9366.0,1104,8262.0,0.572,1303,39,0.625
1,40,1,3,3,2,3,0,28,5,1,0,21617.0,0,21617.0,1.047,1351,22,0.467
1,68,1,1,2,1,5,0,56,5,2,3,13860.0,1652,12208.0,1.255,1910,32,1.909
1,50,0,1,2,2,1,3,31,2,2,3,18386.0,0,18386.0,0.868,1298,22,0.571
1,47,1,4,5,2,2,0,41,6,2,2,2405.0,1540,865.0,0.469,1087,29,1.231
1,53,0,1,0,1,4,0,47,4,2,3,2154.0,930,1224.0,2.121,1439,26,1.364
1,42,0,5,6,1,1,0,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75
1,48,0,4,3,2,1,0,38,6,1,3,8135.0,0,8135.0,1.373,1716,29,0.812
1,49,1,1,1,1,0,0,38,6,1,3,9364.0,618,8746.0,0.554,1099,27,0.8
1,44,0,2,5,1,5,3,35,4,3,2,32643.0,0,32643.0,1.3,1058,24,2.429
1,43,0,4,2,0,4,0,34,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706
1,56,1,0,3,1,3,0,43,5,2,1,2852.0,1024,1828.0,1.009,1651,28,1.0
1,59,0,1,0,2,5,0,36,2,3,3,4224.0,1305,2919.0,0.852,1152,31,0.824
1,46,1,1,5,1,2,0,36,3,2,2,20459.0,2071,18388.0,1.248,1767,38,2.167
1,47,0,4,6,0,4,0,41,6,5,3,3482.0,2114,1368.0,0.508,1039,24,0.263
1,50,0,4,5,1,1,0,40,5,2,3,3065.0,1570,1495.0,1.077,1130,28,1.333
1,51,0,3,5,1,4,0,43,3,1,2,2185.0,1761,424.0,0.682,1645,30,0.429
1,47,0,3,5,1,4,0,36,4,1,0,1611.0,746,865.0,0.993,1413,29,0.706
1,58,0,4,5,1,4,0,47,3,3,3,2822.0,2173,649.0,1.456,1218,23,2.286
0,46,1,5,2,2,3,0,33,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7
1,53,1,3,3,1,2,0,47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828
1,45,0,4,5,0,5,0,36,4,3,3,15875.0,1719,14156.0,0.86,1592,37,1.467
1,52,0,1,3,1,4,0,45,6,3,3,6703.0,893,5810.0,0.567,1388,28,0.75
0,53,1,2,6,1,3,0,36,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25
1,50,1,2,3,1,3,3,45,3,1,3,34516.0,1260,33256.0,0.588,1504,34,0.789
1,41,0,3,3,1,1,0,36,4,1,2,9797.0,1434,8363.0,0.644,1503,34,0.478
1,45,0,5,2,0,1,0,36,5,2,2,10400.0,1777,8623.0,0.791,1105,28,0.867
1,53,1,3,5,1,3,0,42,2,1,2,26792.0,1836,24956.0,1.432,2398,47,0.88
1,67,0,1,2,1,4,0,56,4,3,2,3006.0,2517,489.0,2.053,1661,32,1.0
1,57,0,2,5,2,1,3,36,6,3,0,19482.0,1072,18410.0,0.706,1421,22,1.444
1,59,0,1,5,1,1,0,36,4,2,3,3356.0,985,2371.0,0.35,999,28,0.556
1,45,1,2,5,1,1,0,34,3,2,1,5771.0,2248,3523.0,1.791,1387,18,0.8
1,51,1,3,2,1,3,0,36,6,2,3,11106.0,2107,8999.0,0.948,1243,24,1.0
1,59,0,1,5,1,4,0,54,5,3,0,2890.0,2001,889.0,1.334,1860,36,1.0
1,53,1,1,2,1,2,0,45,6,2,2,3380.0,1701,1679.0,0.747,1502,25,1.273
1,47,1,3,2,1,2,0,36,2,1,2,21331.0,1251,20080.0,0.949,1460,50,1.083
1,49,0,3,5,2,5,0,38,6,2,1,12860.0,0,12860.0,0.646,1348,27,0.286
1,49,1,3,4,2,3,0,33,3,1,0,6278.0,462,5816.0,1.161,1087,33,0.941
1,60,0,0,0,2,4,0,55,5,1,3,1438.3,738,700.3,0.782,1226,33,0.571
1,50,0,2,3,1,4,0,36,5,1,2,9355.0,1626,7729.0,0.701,1230,28,0.867
1,41,0,2,4,1,5,0,31,6,1,3,20758.0,0,20758.0,0.688,1555,32,0.684
1,57,1,1,2,1,3,0,47,5,3,1,14612.0,1976,12636.0,1.768,1827,24,3.0
1,43,1,4,2,3,3,0,27,5,2,0,27259.0,0,27259.0,0.731,1376,35,0.591
1,57,0,3,2,1,4,0,47,4,2,3,6347.0,1594,4753.0,0.896,1771,37,0.762
1,54,1,3,1,1,0,0,41,3,3,0,21592.0,1676,19916.0,1.097,1873,52,0.529
1,51,0,5,4,1,4,0,44,5,1,1,3449.0,1598,1851.0,0.971,1679,42,0.556
1,47,0,3,3,1,4,0,34,2,1,2,6028.0,799,5229.0,0.819,1002,22,0.571
1,41,1,0,3,3,0,0,36,3,2,3,18214.0,1998,16216.0,0.829,1344,21,1.1
1,53,1,3,5,1,3,0,43,3,3,1,16393.0,1423,14970.0,1.642,1461,42,0.75
0,68,1,0,3,1,4,0,52,1,3,2,1438.3,900,538.3,0.743,760,21,0.615
1,59,1,1,0,1,2,0,36,4,1,2,7871.0,1687,6184.0,1.242,1428,22,1.444
1,48,1,4,6,1,3,0,36,5,3,0,5288.0,866,4422.0,0.869,1777,42,0.75
1,44,1,5,2,1,2,0,32,4,5,3,11376.0,2006,9370.0,0.619,1302,27,0.8
1,48,1,3,0,1,3,0,41,4,5,3,12302.0,1632,10670.0,1.509,1483,41,0.519
1,47,1,4,2,1,2,3,33,3,2,1,34516.0,1679,32837.0,0.623,1060,27,0.5
1,47,1,2,2,1,2,3,32,4,2,2,34516.0,1468,33048.0,0.505,1330,32,0.684
1,43,0,1,3,0,4,3,35,3,2,2,10514.0,1580,8934.0,0.504,1229,27,0.8
0,55,0,2,2,1,4,0,43,2,4,3,1438.3,0,1438.3,0.707,886,27,0.421
0,59,1,2,4,1,2,0,46,3,3,3,1438.3,0,1438.3,0.688,844,24,0.5
1,63,1,1,2,1,1,0,56,2,1,2,2619.0,1779,840.0,1.259,1450,37,0.947
1,58,1,2,0,1,0,0,53,2,3,0,24407.0,2395,22012.0,1.071,2311,48,0.714
1,53,0,2,3,1,4,0,36,4,1,2,2377.0,1649,728.0,0.93,1378,26,1.167
1,59,1,0,6,3,3,3,40,3,2,3,34516.0,1359,33157.0,1.327,1033,26,1.364
1,52,1,3,2,1,0,0,47,5,3,3,11086.0,2207,8879.0,0.869,1523,40,1.105
1,48,1,3,3,2,2,0,36,4,2,2,11432.0,2517,8915.0,0.615,1374,37,0.762
1,43,1,4,3,1,1,0,36,5,3,2,13258.0,1721,11537.0,0.908,1080,21,1.333
1,48,1,2,0,2,4,0,36,3,2,3,2571.0,1955,616.0,0.531,1234,24,0.714
1,43,0,4,2,2,4,0,31,5,2,0,5781.0,1168,4613.0,0.638,1600,32,0.455
1,44,1,4,6,1,2,0,30,5,1,2,7872.0,2509,5363.0,0.971,1155,32,0.882
1,41,1,3,3,1,3,0,35,6,1,2,34516.0,1202,33314.0,0.603,1353,33,0.737
1,44,0,3,5,0,4,3,38,4,1,3,11127.0,1835,9292.0,2.368,1546,25,1.273
1,50,1,2,6,2,1,0,43,2,1,3,1857.0,1603,254.0,0.579,1590,43,1.263
1,60,0,1,5,1,4,0,36,5,1,0,1913.0,1272,641.0,1.008,1448,22,1.0
1,44,1,4,2,2,3,0,24,5,3,0,3839.0,2295,1544.0,0.569,1271,24,0.714
1,48,0,3,2,0,1,0,39,6,2,3,2115.0,1141,974.0,0.616,1223,20,0.538
1,44,0,2,2,0,4,0,27,5,2,2,1438.3,679,759.3,0.859,1117,29,1.071
1,41,1,2,3,2,3,0,28,4,3,0,27756.0,1789,25967.0,0.75,994,24,0.846
1,45,1,3,0,2,2,0,32,4,1,2,1438.3,0,1438.3,0.81,1468,26,0.625
1,47,0,2,5,0,4,3,34,6,4,2,13878.0,2222,11656.0,0.853,1658,38,0.357
1,51,0,2,2,1,4,0,36,3,1,3,3106.0,1304,1802.0,0.604,1368,38,0.407
1,51,1,2,2,1,0,0,44,4,3,3,34516.0,1666,32850.0,0.613,1218,18,0.8
0,60,0,1,5,1,1,0,50,4,4,3,1438.3,1025,413.3,0.838,702,12,0.714
1,57,1,2,6,1,3,0,46,2,3,0,18871.0,1740,17131.0,1.727,1516,21,2.0
1,41,1,5,2,2,0,0,29,5,2,2,5207.0,1748,3459.0,1.073,1310,26,1.0
1,44,1,3,4,0,3,0,36,6,2,2,17965.0,1644,16321.0,0.921,1767,50,0.923
1,43,1,1,0,2,2,0,37,6,3,3,2733.0,1819,914.0,0.767,933,25,0.923
1,55,1,2,0,1,2,0,48,4,3,2,8863.0,1301,7562.0,1.207,1512,27,1.455
0,52,1,1,5,1,3,0,36,2,3,3,1857.0,1833,24.0,0.723,829,17,0.7
1,44,1,3,2,3,3,0,33,3,3,3,34516.0,0,34516.0,0.483,1120,27,0.35
1,41,1,2,5,1,1,0,30,5,3,3,11107.0,1222,9885.0,0.538,1506,33,0.941
1,44,1,4,6,2,3,0,34,4,1,2,21573.0,1585,19988.0,0.621,1384,36,2.273
0,53,0,2,6,1,4,0,33,2,3,3,2859.0,2517,342.0,0.993,817,30,0.667
1,39,1,2,3,2,3,0,36,4,2,2,5269.0,1475,3794.0,1.148,2094,25,0.667
0,49,1,5,0,1,1,0,45,2,2,3,1438.3,0,1438.3,0.734,815,21,0.615
0,45,0,2,0,1,4,0,36,1,3,2,3387.0,0,3387.0,0.789,510,24,0.6
1,54,1,2,2,1,3,0,46,6,2,3,1982.0,1289,693.0,0.939,1377,49,0.69
1,49,1,3,5,2,3,0,43,2,2,2,4645.0,1650,2995.0,0.912,1193,33,0.65
1,46,0,3,1,2,5,0,36,6,3,2,2189.0,1666,523.0,0.343,1287,36,0.636
0,46,1,4,3,1,0,0,30,3,3,3,2442.0,0,2442.0,0.98,701,19,0.727
1,47,1,3,2,1,2,0,38,4,1,2,21304.0,1532,19772.0,1.018,1770,25,0.923
1,44,1,2,1,2,2,0,36,5,1,2,7577.0,2480,5097.0,0.435,1409,35,0.167
1,50,1,3,4,2,0,0,31,4,1,2,3234.0,1486,1748.0,0.868,1354,28,0.647
1,73,1,0,3,1,1,0,36,5,3,2,4469.0,1125,3344.0,1.363,1765,34,1.615
1,56,1,3,6,3,1,0,46,6,3,4,2910.0,709,2201.0,0.538,1192,27,0.588
0,59,1,0,3,2,1,0,48,2,4,3,3616.0,1054,2562.0,0.616,687,17,0.545
1,70,1,0,3,1,4,0,56,3,2,3,3252.0,1495,1757.0,0.581,1227,15,0.875
1,55,0,2,3,1,4,0,36,4,3,3,2358.0,1152,1206.0,0.969,1737,26,1.6
1,43,1,4,6,2,2,0,36,4,1,0,22322.0,953,21369.0,0.769,1348,34,1.125
1,45,1,1,5,2,0,0,39,4,2,2,3133.0,1510,1623.0,0.609,1435,38,0.462
1,45,0,2,5,2,1,0,35,2,3,0,3540.0,849,2691.0,0.456,1321,28,0.75
1,40,1,1,2,1,1,0,23,6,3,2,6990.0,1378,5612.0,0.73,1479,29,0.611
1,36,1,2,0,3,3,0,22,2,2,3,34516.0,1652,32864.0,0.854,1283,39,1.294
0,59,0,0,4,1,1,0,40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353
1,43,1,4,6,1,2,0,35,6,3,2,24396.0,1171,23225.0,0.655,965,17,1.125
1,46,0,1,6,1,4,0,36,2,3,2,2474.0,2143,331.0,1.53,1541,40,1.0
1,41,1,2,5,1,1,0,32,5,1,3,5214.0,795,4419.0,0.707,1258,23,1.3
1,51,0,2,2,1,4,0,46,5,2,2,5207.0,1650,3557.0,0.708,1339,20,0.538
1,51,0,3,6,3,4,0,25,2,2,2,9512.0,1082,8430.0,0.701,1007,22,1.444
1,43,0,4,2,0,5,0,23,6,3,2,3187.0,2430,757.0,0.617,1387,33,1.357
0,64,0,0,3,1,1,0,53,1,3,3,3353.0,0,3353.0,1.021,960,18,0.385
1,54,1,5,2,1,2,0,38,3,3,3,2290.0,1434,856.0,0.923,1119,18,3.5
1,48,1,3,6,2,1,0,43,6,1,3,5279.0,1115,4164.0,0.549,1642,41,0.519
1,40,1,2,5,0,2,0,29,5,3,0,23603.0,0,23603.0,0.795,1382,31,1.067
1,57,1,0,5,1,1,0,45,6,2,2,2601.0,0,2601.0,0.814,1232,32,0.684
1,45,1,4,2,2,3,0,40,4,3,0,6363.0,1029,5334.0,0.838,1542,16,1.286
1,41,1,3,3,2,3,0,36,4,3,3,8029.0,1576,6453.0,0.826,1094,32,0.524
